[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017158, 通道: 1)
[*] 解码 RTOS 事件 10.0 秒（Ctrl+C 中断）...

[t=2us] trace_start
[t=9us] init
[t=21us] sysdesc
[t=29us] sysdesc
[t=29us] systime_us
[t=29us] isr_exit
[t=29us] overflow
[t=34us] stack_info         id=0x20016DF8
[t=41us] task_info          main id=0x20010A54
[t=44us] stack_info         main id=0x20010A54
[t=51us] nummodules
[t=58us] task_info          timer id=0x20016DF8
[t=62us] stack_info         timer id=0x20016DF8
[t=69us] task_info          main id=0x20010A54
[t=73us] stack_info         main id=0x20010A54
[t=127us] task_create        id=0x20005DF0
[t=134us] task_stop_exec
[t=138us] task_start_exec    id=0x20005DF0
[t=147us] task_stop_exec     id=0x20005DF0
[t=150us] task_start_exec    main id=0x20010A54
[t=175us] task_create        id=0x20006170
[t=182us] task_stop_exec     main id=0x20010A54
[t=185us] task_start_exec    id=0x20006170
[t=198us] task_stop_exec     id=0x20006170
[t=201us] task_start_exec    main id=0x20010A54
[t=252us] task_create        id=0x200031EC
[t=259us] task_stop_exec     main id=0x20010A54
[t=262us] task_start_exec    id=0x200031EC
[t=579,808us] task_stop_exec     id=0x200031EC
[t=579,812us] task_start_exec    id=0x20006170
[t=579,824us] task_stop_exec     id=0x20006170
[t=579,827us] task_start_exec    main id=0x20010A54
[t=579,867us] task_stop_exec     main id=0x20010A54
[t=579,870us] task_start_exec    id=0x20016A48
[t=579,873us] idle
[t=579,882us] user_start         user=0
[t=580,878us] user_stop          user=0
[t=580,884us] user_start         user=0
[t=581,877us] user_stop          user=0
[t=581,883us] user_start         user=0
[t=582,877us] user_stop          user=0
[t=582,883us] user_start         user=0
[t=583,879us] task_stop_exec     id=0x20016A48
[t=583,882us] task_start_exec    id=0x200031EC
[t=583,900us] task_stop_exec     id=0x200031EC
[t=583,903us] task_start_exec    id=0x20016A48
[t=583,906us] idle
[t=583,910us] user_stop          user=0
[t=583,916us] user_start         user=0
[t=584,877us] user_stop          user=0
[t=584,883us] user_start         user=0
[t=585,877us] user_stop          user=0
[t=585,883us] user_start         user=0
[t=586,877us] user_stop          user=0
[t=586,883us] user_start         user=0
[t=587,877us] user_stop          user=0
[t=587,883us] user_start         user=0
[t=588,879us] task_stop_exec     id=0x20016A48
[t=588,882us] task_start_exec    id=0x200031EC
[t=588,899us] task_stop_exec     id=0x200031EC
[t=588,902us] task_start_exec    id=0x20016A48
[t=588,905us] idle
[t=588,910us] user_stop          user=0
[t=588,916us] user_start         user=0
[t=589,877us] user_stop          user=0
[t=589,883us] user_start         user=0
[t=590,877us] user_stop          user=0
[t=590,883us] user_start         user=0
[t=591,877us] user_stop          user=0
[t=591,883us] user_start         user=0
[t=592,877us] user_stop          user=0
[t=592,883us] user_start         user=0
[t=593,879us] task_stop_exec     id=0x20016A48
[t=593,882us] task_start_exec    id=0x200031EC
[t=593,900us] task_stop_exec     id=0x200031EC
[t=593,903us] task_start_exec    id=0x20016A48
[t=593,906us] idle
[t=593,910us] user_stop          user=0
[t=593,916us] user_start         user=0
[t=594,877us] user_stop          user=0
[t=594,883us] user_start         user=0
[t=595,877us] user_stop          user=0
[t=595,883us] user_start         user=0
[t=596,468us] task_stop_exec     id=0x20016A48
[t=596,471us] task_start_exec    id=0x200031EC
[t=619,516us] task_stop_exec     id=0x200031EC
[t=619,520us] task_start_exec    id=0x20006170
[t=619,532us] task_stop_exec     id=0x20006170
[t=619,536us] task_start_exec    id=0x20016A48
[t=619,539us] idle
[t=619,543us] user_stop          user=0
[t=619,549us] user_start         user=0
[t=619,877us] user_stop          user=0
[t=619,883us] user_start         user=0
[t=620,877us] user_stop          user=0
[t=620,883us] user_start         user=0
[t=621,877us] user_stop          user=0
[t=621,883us] user_start         user=0
[t=622,877us] user_stop          user=0
[t=622,883us] user_start         user=0
[t=623,879us] task_stop_exec     id=0x20016A48
[t=623,882us] task_start_exec    id=0x200031EC
[t=623,900us] task_stop_exec     id=0x200031EC
[t=623,903us] task_start_exec    id=0x20016A48
[t=623,906us] idle
[t=623,911us] user_stop          user=0
[t=623,916us] user_start         user=0
[t=624,877us] user_stop          user=0
[t=624,883us] user_start         user=0
[t=625,877us] user_stop          user=0
[t=625,883us] user_start         user=0
[t=626,877us] user_stop          user=0
[t=626,883us] user_start         user=0
[t=627,877us] user_stop          user=0
[t=627,883us] user_start         user=0
[t=628,879us] task_stop_exec     id=0x20016A48
[t=628,882us] task_start_exec    main id=0x20010A54
[t=628,890us] task_stop_exec     main id=0x20010A54
[t=628,893us] task_start_exec    id=0x200031EC
[t=628,910us] task_stop_exec     id=0x200031EC
[t=628,913us] task_start_exec    main id=0x20010A54
[t=629,340us] task_stop_exec     main id=0x20010A54
[t=629,344us] task_start_exec    id=0x20016A48
[t=629,346us] idle
[t=629,351us] user_stop          user=0
[t=629,357us] user_start         user=0
[t=629,877us] user_stop          user=0
[t=629,883us] user_start         user=0
[t=630,877us] user_stop          user=0
[t=630,883us] user_start         user=0
[t=631,877us] user_stop          user=0
[t=631,883us] user_start         user=0
[t=632,877us] user_stop          user=0
[t=632,883us] user_start         user=0
[t=633,880us] task_stop_exec     id=0x20016A48
[t=633,883us] task_start_exec    id=0x200031EC
[t=633,900us] task_stop_exec     id=0x200031EC
[t=633,903us] task_start_exec    id=0x20016A48
[t=633,906us] idle
[t=633,911us] user_stop          user=0
[t=633,917us] user_start         user=0
[t=634,877us] user_stop          user=0
[t=634,883us] user_start         user=0
[t=635,877us] user_stop          user=0
[t=635,883us] user_start         user=0
[t=636,877us] user_stop          user=0
[t=636,883us] user_start         user=0
[t=637,877us] user_stop          user=0
[t=637,883us] user_start         user=0
[t=638,879us] task_stop_exec     id=0x20016A48
[t=638,882us] task_start_exec    id=0x20006170
[t=638,890us] task_stop_exec     id=0x20006170
[t=638,893us] task_start_exec    id=0x200031EC
[t=638,910us] task_stop_exec     id=0x200031EC
[t=638,913us] task_start_exec    id=0x20006170
[t=638,925us] task_stop_exec     id=0x20006170
[t=638,928us] task_start_exec    id=0x20016A48
[t=638,931us] idle
[t=638,936us] user_stop          user=0
[t=638,941us] user_start         user=0
[t=639,877us] user_stop          user=0
[t=639,883us] user_start         user=0
[t=640,877us] user_stop          user=0
[t=640,883us] user_start         user=0
[t=641,877us] user_stop          user=0
[t=641,883us] user_start         user=0
[t=642,877us] user_stop          user=0
[t=642,883us] user_start         user=0
[t=643,879us] task_stop_exec     id=0x20016A48
[t=643,882us] task_start_exec    id=0x200031EC
[t=643,899us] task_stop_exec     id=0x200031EC
[t=643,902us] task_start_exec    id=0x20016A48
[t=643,905us] idle
[t=643,910us] user_stop          user=0
[t=643,916us] user_start         user=0
[t=644,877us] user_stop          user=0
[t=644,883us] user_start         user=0
[t=645,877us] user_stop          user=0
[t=645,883us] user_start         user=0
[t=646,877us] user_stop          user=0
[t=646,883us] user_start         user=0
[t=647,877us] user_stop          user=0
[t=647,883us] user_start         user=0
[t=648,879us] task_stop_exec     id=0x20016A48
[t=648,882us] task_start_exec    id=0x200031EC
[t=648,899us] task_stop_exec     id=0x200031EC
[t=648,902us] task_start_exec    id=0x20016A48
[t=648,905us] idle
[t=648,910us] user_stop          user=0
[t=648,916us] user_start         user=0
[t=649,877us] user_stop          user=0
[t=649,883us] user_start         user=0
[t=650,877us] user_stop          user=0
[t=650,883us] user_start         user=0
[t=651,877us] user_stop          user=0
[t=651,883us] user_start         user=0
[t=652,877us] user_stop          user=0
[t=652,883us] user_start         user=0
[t=653,879us] task_stop_exec     id=0x20016A48
[t=653,882us] task_start_exec    id=0x200031EC
[t=653,900us] task_stop_exec     id=0x200031EC
[t=653,903us] task_start_exec    id=0x20016A48
[t=653,906us] idle
[t=653,910us] user_stop          user=0
[t=653,916us] user_start         user=0
[t=654,877us] user_stop          user=0
[t=654,883us] user_start         user=0
[t=655,877us] user_stop          user=0
[t=655,883us] user_start         user=0
[t=656,877us] user_stop          user=0
[t=656,883us] user_start         user=0
[t=657,877us] user_stop          user=0
[t=657,883us] user_start         user=0
[t=658,879us] task_stop_exec     id=0x20016A48
[t=658,882us] task_start_exec    id=0x20006170
[t=658,890us] task_stop_exec     id=0x20006170
[t=658,893us] task_start_exec    id=0x200031EC
[t=658,910us] task_stop_exec     id=0x200031EC
[t=658,913us] task_start_exec    id=0x20006170
[t=658,925us] task_stop_exec     id=0x20006170
[t=658,928us] task_start_exec    id=0x20016A48
[t=658,931us] idle
[t=658,936us] user_stop          user=0
[t=658,941us] user_start         user=0
[t=659,877us] user_stop          user=0
[t=659,883us] user_start         user=0
[t=660,877us] user_stop          user=0
[t=660,883us] user_start         user=0
[t=661,877us] user_stop          user=0
[t=661,883us] user_start         user=0
[t=662,877us] user_stop          user=0
[t=662,883us] user_start         user=0
[t=663,879us] task_stop_exec     id=0x20016A48
[t=663,882us] task_start_exec    id=0x200031EC
[t=663,899us] task_stop_exec     id=0x200031EC
[t=663,902us] task_start_exec    id=0x20016A48
[t=663,905us] idle
[t=663,910us] user_stop          user=0
[t=663,916us] user_start         user=0
[t=664,877us] user_stop          user=0
[t=664,883us] user_start         user=0
[t=665,878us] user_stop          user=0
[t=665,884us] user_start         user=0
[t=666,877us] user_stop          user=0
[t=666,883us] user_start         user=0
[t=667,877us] user_stop          user=0
[t=667,883us] user_start         user=0
[t=668,879us] task_stop_exec     id=0x20016A48
