[*] 连接 MKLink（端口: COM7）...
[TX] cmd.get_idcode()
[SERIAL] cmd.get_idcode()
[SERIAL] idcode = 0X2BA01477
[SERIAL] 731911287
[RX] <<<
[OK] 连接成功
[OK] SystemView 已启动 (RTT 控制块: 0x20017148, 通道: 1)
[*] 解码 RTOS 事件 3.0 秒（Ctrl+C 中断）...

[t=1,286us] task_stop_exec
[t=1,288us] task_start_exec    id=0x200031DC
[t=1,298us] task_stop_exec     id=0x200031DC
[t=1,299us] task_start_exec    id=0x20016A38
[t=1,301us] idle
[t=3,429us] task_stop_exec     id=0x20016A38
[t=3,432us] trace_stop
[t=24,650,970us] trace_start
[t=57,518,936us] init
[t=57,518,950us] sysdesc
[t=57,518,960us] sysdesc
[t=57,518,960us] systime_us
[t=57,518,960us] isr_exit
[t=57,518,960us] trace_start
[t=57,518,965us] stack_info         id=0x20004D40
[t=57,518,973us] task_info          ppg id=0x20002A60
[t=57,518,978us] stack_info         ppg id=0x20002A60
[t=57,518,986us] task_info          ble id=0x200031DC
[t=57,518,990us] stack_info         ble id=0x200031DC
[t=57,518,999us] task_info          key id=0x20006160
[t=57,519,003us] stack_info         key id=0x20006160
[t=57,519,012us] task_info          power id=0x20005DE0
[t=57,519,016us] stack_info         power id=0x20005DE0
[t=57,519,025us] task_info          timer id=0x20016DE8
[t=57,519,030us] stack_info         timer id=0x20016DE8
[t=57,519,038us] nummodules
[t=57,519,042us] task_start_exec    ppg id=0x20002A60
[t=57,519,070us] task_stop_exec     ppg id=0x20002A60
[t=57,519,074us] task_start_exec    id=0x20016A38
[t=57,519,078us] idle
[t=57,522,986us] task_stop_exec     id=0x20016A38
[t=57,522,990us] task_start_exec    ble id=0x200031DC
[t=57,523,012us] task_stop_exec     ble id=0x200031DC
[t=57,523,016us] task_start_exec    id=0x20016A38
[t=57,523,020us] idle
[t=57,527,986us] task_stop_exec     id=0x20016A38
[t=57,527,990us] task_start_exec    ble id=0x200031DC
[t=57,528,013us] task_stop_exec     ble id=0x200031DC
[t=57,528,017us] task_start_exec    id=0x20016A38
[t=57,528,020us] idle
[t=57,528,986us] task_stop_exec     id=0x20016A38
[t=57,528,990us] task_start_exec    ppg id=0x20002A60
[t=57,530,379us] task_stop_exec     ppg id=0x20002A60
[t=57,530,383us] task_start_exec    id=0x20016A38
[t=57,530,387us] idle
[t=57,530,912us] task_stop_exec     id=0x20016A38
[t=57,530,916us] task_start_exec    ppg id=0x20002A60
[t=57,530,941us] task_stop_exec     ppg id=0x20002A60
[t=57,530,945us] task_start_exec    id=0x20016A38
[t=57,530,948us] idle
[t=57,530,986us] task_stop_exec     id=0x20016A38
[t=57,530,990us] task_start_exec    key id=0x20006160
[t=57,531,007us] task_stop_exec     key id=0x20006160
[t=57,531,011us] task_start_exec    id=0x20016A38
[t=57,531,015us] idle
[t=57,532,986us] task_stop_exec     id=0x20016A38
[t=57,532,990us] task_start_exec    ble id=0x200031DC
[t=57,533,012us] task_stop_exec     ble id=0x200031DC
[t=57,533,016us] task_start_exec    id=0x20016A38
[t=57,533,020us] idle
[t=57,537,986us] task_stop_exec     id=0x20016A38
[t=57,537,990us] task_start_exec    ble id=0x200031DC
[t=57,538,013us] task_stop_exec     ble id=0x200031DC
[t=57,538,016us] task_start_exec    id=0x20016A38
[t=57,538,020us] idle
[t=57,539,986us] task_stop_exec     id=0x20016A38
[t=57,539,990us] task_start_exec    ppg id=0x20002A60
[t=57,541,379us] task_stop_exec     ppg id=0x20002A60
[t=57,541,383us] task_start_exec    id=0x20016A38
[t=57,541,387us] idle
[t=57,541,912us] task_stop_exec     id=0x20016A38
[t=57,541,916us] task_start_exec    ppg id=0x20002A60
[t=57,541,940us] task_stop_exec     ppg id=0x20002A60
[t=57,541,944us] task_start_exec    id=0x20016A38
[t=57,541,948us] idle
[t=57,542,986us] task_stop_exec     id=0x20016A38
[t=57,542,990us] task_start_exec    ble id=0x200031DC
[t=57,543,012us] task_stop_exec     ble id=0x200031DC
[t=57,543,016us] task_start_exec    id=0x20016A38
[t=57,543,020us] idle
[t=57,547,986us] task_stop_exec     id=0x20016A38
[t=57,547,990us] task_start_exec    ble id=0x200031DC
[t=57,548,013us] task_stop_exec     ble id=0x200031DC
[t=57,548,017us] task_start_exec    id=0x20016A38
[t=57,548,020us] idle
[t=57,550,986us] task_stop_exec     id=0x20016A38
[t=57,550,990us] task_start_exec    key id=0x20006160
[t=57,550,999us] task_stop_exec     key id=0x20006160
[t=57,551,003us] task_start_exec    ppg id=0x20002A60
[t=57,552,391us] task_stop_exec     ppg id=0x20002A60
[t=57,552,395us] task_start_exec    key id=0x20006160
[t=57,552,410us] task_stop_exec     key id=0x20006160
[t=57,552,414us] task_start_exec    id=0x20016A38
[t=57,552,418us] idle
[t=57,552,925us] task_stop_exec     id=0x20016A38
[t=57,552,929us] task_start_exec    ppg id=0x20002A60
[t=57,552,953us] task_stop_exec     ppg id=0x20002A60
[t=57,552,957us] task_start_exec    id=0x20016A38
[t=57,552,960us] idle
[t=57,552,986us] task_stop_exec     id=0x20016A38
[t=57,552,990us] task_start_exec    ble id=0x200031DC
[t=57,553,012us] task_stop_exec     ble id=0x200031DC
[t=57,553,016us] task_start_exec    id=0x20016A38
[t=57,553,020us] idle
[t=57,557,986us] task_stop_exec     id=0x20016A38
[t=57,557,990us] task_start_exec    ble id=0x200031DC
[t=57,558,013us] task_stop_exec     ble id=0x200031DC
[t=57,558,016us] task_start_exec    id=0x20016A38
[t=57,558,020us] idle
[t=57,561,986us] task_stop_exec     id=0x20016A38
[t=57,561,990us] task_start_exec    ppg id=0x20002A60
[t=57,562,986us] task_stop_exec     ppg id=0x20002A60
[t=57,562,990us] task_start_exec    ble id=0x200031DC
[t=57,563,013us] task_stop_exec     ble id=0x200031DC
[t=57,563,017us] task_start_exec    ppg id=0x20002A60
[t=57,563,378us] task_stop_exec     ppg id=0x20002A60
[t=57,563,382us] task_start_exec    id=0x20016A38
[t=57,563,386us] idle
[t=57,563,912us] task_stop_exec     id=0x20016A38
[t=57,563,915us] task_start_exec    ppg id=0x20002A60
[t=57,563,940us] task_stop_exec     ppg id=0x20002A60
[t=57,563,944us] task_start_exec    id=0x20016A38
[t=57,563,947us] idle
[t=57,567,986us] task_stop_exec     id=0x20016A38
[t=57,567,990us] task_start_exec    ble id=0x200031DC
[t=57,568,013us] task_stop_exec     ble id=0x200031DC
[t=57,568,017us] task_start_exec    id=0x20016A38
[t=57,568,020us] idle
[t=57,571,986us] task_stop_exec     id=0x20016A38
[t=57,571,990us] task_start_exec    key id=0x20006160
[t=57,572,007us] task_stop_exec     key id=0x20006160
[t=57,572,011us] task_start_exec    id=0x20016A38
[t=57,572,015us] idle
[t=57,572,986us] task_stop_exec     id=0x20016A38
[t=57,572,990us] task_start_exec    ppg id=0x20002A60
[t=57,572,999us] task_stop_exec     ppg id=0x20002A60
[t=57,573,003us] task_start_exec    ble id=0x200031DC
[t=57,573,025us] task_stop_exec     ble id=0x200031DC
[t=57,573,029us] task_start_exec    ppg id=0x20002A60
[t=57,574,114us] task_stop_exec     ppg id=0x20002A60
[t=57,574,118us] task_start_exec    id=0x20016A38
[t=57,574,122us] idle
[t=57,577,986us] task_stop_exec     id=0x20016A38
[t=57,577,990us] task_start_exec    ble id=0x200031DC
[t=57,578,012us] task_stop_exec     ble id=0x200031DC
[t=57,578,016us] task_start_exec    id=0x20016A38
[t=57,578,020us] idle
[t=57,582,986us] task_stop_exec     id=0x20016A38
[t=57,582,990us] task_start_exec    ble id=0x200031DC
[t=57,583,013us] task_stop_exec     ble id=0x200031DC
[t=57,583,016us] task_start_exec    id=0x20016A38
[t=57,583,020us] idle
[t=57,583,986us] task_stop_exec     id=0x20016A38
[t=57,583,990us] task_start_exec    ppg id=0x20002A60
[t=57,585,379us] task_stop_exec     ppg id=0x20002A60
[t=57,585,383us] task_start_exec    id=0x20016A38
[t=57,585,387us] idle
[t=57,585,912us] task_stop_exec     id=0x20016A38
[t=57,585,916us] task_start_exec    ppg id=0x20002A60
[t=57,585,940us] task_stop_exec     ppg id=0x20002A60
[t=57,585,944us] task_start_exec    id=0x20016A38
[t=57,585,948us] idle
[t=57,587,986us] task_stop_exec     id=0x20016A38
[t=57,587,990us] task_start_exec    ble id=0x200031DC
[t=57,588,013us] task_stop_exec     ble id=0x200031DC
[t=57,588,017us] task_start_exec    id=0x20016A38
[t=57,588,020us] idle
[t=57,591,987us] task_stop_exec     id=0x20016A38
[t=57,591,991us] task_start_exec    key id=0x20006160
[t=57,592,008us] task_stop_exec     key id=0x20006160
[t=57,592,012us] task_start_exec    id=0x20016A38
[t=57,592,016us] idle
[t=57,592,986us] task_stop_exec     id=0x20016A38
[t=57,592,990us] task_start_exec    ble id=0x200031DC
[t=57,593,013us] task_stop_exec     ble id=0x200031DC
[t=57,593,017us] task_start_exec    id=0x20016A38
[t=57,593,020us] idle
[t=57,594,986us] task_stop_exec     id=0x20016A38
[t=57,594,990us] task_start_exec    ppg id=0x20002A60
[t=57,596,379us] task_stop_exec     ppg id=0x20002A60
[t=57,596,383us] task_start_exec    id=0x20016A38
[t=57,596,387us] idle
[t=57,596,912us] task_stop_exec     id=0x20016A38
[t=57,596,916us] task_start_exec    ppg id=0x20002A60
[t=57,596,940us] task_stop_exec     ppg id=0x20002A60
[t=57,596,944us] task_start_exec    id=0x20016A38
[t=57,596,948us] idle
[t=57,597,986us] task_stop_exec     id=0x20016A38
[t=57,597,990us] task_start_exec    ble id=0x200031DC
[t=57,598,012us] task_stop_exec     ble id=0x200031DC
[t=57,598,016us] task_start_exec    id=0x20016A38
[t=57,598,020us] idle
[t=57,602,986us] task_stop_exec     id=0x20016A38
[t=57,602,990us] task_start_exec    ble id=0x200031DC
[t=57,603,013us] task_stop_exec     ble id=0x200031DC
[t=57,603,016us] task_start_exec    id=0x20016A38
[t=57,603,020us] idle
[t=57,605,986us] task_stop_exec     id=0x20016A38
[t=57,605,990us] task_start_exec    ppg id=0x20002A60
[t=57,607,378us] task_stop_exec     ppg id=0x20002A60
[t=57,607,382us] task_start_exec    id=0x20016A38
[t=57,607,386us] idle
[t=57,607,912us] task_stop_exec     id=0x20016A38
[t=57,607,915us] task_start_exec    ppg id=0x20002A60
[t=57,607,940us] task_stop_exec     ppg id=0x20002A60
[t=57,607,944us] task_start_exec    id=0x20016A38
[t=57,607,947us] idle
[t=57,607,986us] task_stop_exec     id=0x20016A38
[t=57,607,990us] task_start_exec    ble id=0x200031DC
[t=57,608,013us] task_stop_exec     ble id=0x200031DC
[t=57,608,017us] task_start_exec    id=0x20016A38
[t=57,608,020us] idle
[t=57,611,986us] task_stop_exec     id=0x20016A38
