seq,red_raw,ir_raw,red_fir,ir_fir
22928,-41745,-24944,-18053.102539,-10787.317996
22929,-41720,-24928,-18053.104628,-10787.319333
22930,-41689,-24909,-18053.110919,-0.417275
22931,-41656,-24883,-18053.123874,-10787.331863
22932,-41622,-24860,-18053.146090,-10787.346719
22933,-41595,-24840,-18053.179238,-0.463173
22934,-41571,-24823,-18053.224078,-10787.399866
22935,-41556,-24813,-18053.279387,-10787.437968
22936,-41545,-24803,-18053.342330,-0.575800
22937,-41540,-24798,-18053.408332,-10787.528341
22938,-41541,-24800,-18053.471807,-10787.573528
22939,-41546,-24805,-18053.527379,-0.707439
22940,-41551,-24665,-18053.571506,-10787.657447
22941,-41557,-24713,-18053.603671,-10787.698418
22942,-41565,-24741,-18053.627393,-0.833128
22943,-41573,-24774,-18053.650791,-10787.782677
22944,-41576,-24799,-18053.686406,-10787.833898
22945,-41590,-24810,-18053.748228,-0.993037
22946,-41597,-24831,-18053.851148,-10787.982988
22947,-41604,-24850,-18054.006872,-10788.089972
22948,-41617,-24857,-18054.220719,-1.317239
22949,-41621,-24871,-18054.490655,-10788.382706
22950,-41622,-24884,-18054.805367,-10788.565742
22951,-41626,-24885,-18055.144708,-1.862019
22952,-41627,-24894,-18055.482902,-10788.982196
22953,-41621,-24904,-18055.792952,-10789.199894
22954,-41620,-24896,-18056.050954,-2.508344
22955,-41612,-24899,-18056.242953,-10789.618968
22956,-41610,-24903,-18056.368126,-10789.810203
22957,-41609,-24897,-18056.442138,-3.083092
22958,-41607,-24902,-18056.496821,-10790.159769
22959,-41605,-24905,-18056.576535,-10790.330804
22960,-41613,-24902,-18056.730826,-3.608367
22961,-41614,-24909,-18057.007303,-10790.723388
22962,-41616,-24917,-18057.440993,-10790.970652
22963,-41624,-24917,-18058.045703,-4.361188
22964,-41629,-24924,-18058.809139,-10791.618825
22965,-41638,-24934,-18059.690667,-10792.025257
22966,-41642,-24936,-18060.626062,-5.574092
22967,-41648,-24942,-18061.535675,-10792.969810
22968,-41652,-24953,-18062.338109,-10793.475258
22969,-41659,-24958,-18062.964964,-7.069000
22970,-41663,-24967,-18063.376240,-10794.447386
22971,-41670,-24972,-18063.571068,-10794.874996
22972,-41675,-24976,-18063.593676,-8.341734
22973,-41681,-24981,-18063.530577,-10795.565480
22974,-41687,-24991,-18063.499973,-10795.839019
22975,-41699,-24997,-18063.633061,-9.184502
22976,-41704,-25002,-18064.052163,-10796.350507
22977,-41710,-25007,-18064.845461,-10796.653635
22978,-41711,-25013,-18066.046693,-10.126839
22979,-41715,-25015,-18067.620764,-10797.513459
22980,-41721,-25023,-18069.461402,-10798.106173
22981,-41722,-25027,-18071.401834,-11.897778
22982,-41727,-25029,-18073.236618,-10799.578959
22983,-41731,-25036,-18074.755119,-10800.385387
22984,-41735,-25044,-18075.779441,-14.257801
22985,-41735,-25048,-18076.202179,-10801.851208
22986,-41734,-25052,-18076.015869,-10802.391752
22987,-41717,-25050,-18075.330201,-15.843700
22988,-41700,-25039,-18074.367634,-10802.920424
22989,-41672,-25024,-18073.441356,-10802.936970
22990,-41638,-25006,-18072.911512,-15.965375
22991,-41605,-24984,-18073.126644,-10802.828205
22992,-41575,-24960,-18074.357886,-10802.929395
22993,-41549,-24944,-18076.734980,-16.385122
22994,-41530,-24929,-18080.194327,-10803.996571
22995,-41516,-24916,-18084.449224,-10805.065392
22996,-41510,-24912,-18088.988343,-19.519571
22997,-41509,-24910,-18093.107071,-10807.893781
22998,-41507,-24910,-18095.970102,-10809.166661
22999,-41511,-24917,-18096.698399,-22.921862
23000,-41519,-24924,-18094.472909,-10809.373706
23001,-41520,-24929,-18088.641703,-10807.255311
23002,-41531,-24937,-18078.813725,-16.029083
23003,-41539,-24943,-18064.931647,-10795.953247
23004,-41543,-24949,-18047.308225,-10785.995319
23005,-41555,-24958,-18026.621073,13.952583
23006,-41567,-24972,-18003.867276,-10756.972451
23007,-41569,-24979,-17980.279886,-10738.474718
23008,-41585,-24985,-17957.213320,68.750914
23009,-41592,-24996,-17936.018167,-10696.946471
23010,-41587,-24999,-17917.912735,-10675.957840
23011,-41590,-25007,-17903.868130,130.519946
23012,-41588,-25012,-17894.524067,-10639.414490
23013,-41576,-25010,-17890.139691,-10626.105649
23014,-41581,-25007,-17890.583107,169.605860
23015,-41573,-25011,-17895.366413,-10613.533751
23016,-41561,-25009,-17903.710303,-10614.983793
23017,-41566,-25009,-17914.633714,165.458242
23018,-41562,-25009,-17927.060295,-10632.360418
23019,-41556,-25009,-17939.921270,-10646.845898
23020,-41568,-25011,-17952.247293,123.106067
23021,-41569,-25016,-17963.244538,-10681.993185
23022,-41568,-25017,-17972.340952,-10700.184902
23023,-41581,-25025,-17979.205948,69.673140
23024,-41585,-25033,-17983.747802,-10732.191276
23025,-41586,-25038,-17986.086636,-10744.384204
23026,-41601,-25044,-17986.512613,33.457452
23027,-41606,-25049,-17985.439588,-10759.344307
23028,-41610,-25056,-17983.353183,-10762.331450
23029,-41624,-25066,-17980.762981,23.987070
23030,-41627,-25071,-17978.163778,-10761.792934
23031,-41635,-25078,-17976.001092,-10759.731219
23032,-41644,-25088,-17974.647676,29.390032
23033,-41647,-25091,-17974.387152,-10755.853893
23034,-41653,-25099,-17975.402844,-10755.308845
23035,-41658,-25109,-17977.773810,30.648972
23036,-41660,-25111,-17981.475714,-10758.866028
23037,-41667,-25116,-17986.386673,-10763.096293
23038,-41668,-25120,-17992.301226,18.178940
23039,-41665,-25124,-17998.949589,-10775.399418
23040,-41673,-25126,-18006.023010,-10782.672005
23041,-41671,-25130,-18013.207943,-3.175921
23042,-41669,-25129,-18020.219822,-10797.205104
23043,-41678,-25132,-18026.837069,-10803.706899
23044,-41672,-25141,-18032.932655,-22.474256
23045,-41669,-25134,-18038.490824,-10814.167926
23046,-41669,-25136,-18043.611906,-10818.160462
23047,-41644,-25130,-18048.501267,-34.673560
23048,-41616,-25109,-18053.435479,-10824.741678
23049,-41593,-25094,-18058.715101,-10828.006231
23050,-41552,-25072,-18064.608412,-44.813722
23051,-41521,-25044,-18071.286622,-10836.156548
23052,-41502,-25026,-18078.767953,-10841.465103
23053,-41470,-25007,-18086.877550,-60.723593
23054,-41449,-24991,-18095.225441,-10854.448342
23055,-41447,-24989,-18103.215397,-10861.534284
23056,-41435,-24984,-18110.086338,-81.435797
23057,-41433,-24983,-18114.976903,-10874.212921
23058,-41440,-24985,-18117.014911,-10878.442787
23059,-41437,-24986,-18115.419370,-93.450386
23060,-41440,-24988,-18109.598903,-10879.387298
23061,-41451,-24998,-18099.239029,-10875.149387
23062,-41453,-25001,-18084.365357,-80.589030
23063,-41456,-25005,-18065.370030,-10856.547820
23064,-41469,-25016,-18042.999986,-10842.708196
23065,-41475,-25017,-18018.308097,-39.725639
23066,-41477,-25022,-17992.567861,-10809.176210
23067,-41486,-25030,-17967.163264,-10791.329971
23068,-41484,-25031,-17943.468667,12.781162
23069,-41478,-25037,-17922.727256,-10758.544072
23070,-41477,-25038,-17905.944893,-10745.438033
23071,-41469,-25032,-17893.811681,51.451823
23072,-41457,-25031,-17886.655544,-10728.988631
23073,-41452,-25031,-17884.432787,-10726.166030
23074,-41443,-25023,-17886.756461,60.058856
23075,-41432,-25020,-17892.953535,-10730.659625
23076,-41426,-25017,-17902.143992,-10737.050369
23077,-41424,-25008,-17913.332166,41.556059
23078,-41419,-25009,-17925.499170,-10754.839198
23079,-41416,-25010,-17937.685595,-10764.814701
23080,-41419,-24999,-17949.057773,12.263073
23081,-41416,-25004,-17958.958244,-10783.798731
23082,-41416,-25006,-17966.928778,-10791.889361
23083,-41420,-25002,-17972.715911,-11.756102
23084,-41420,-25009,-17976.260948,-10803.996215
23085,-41419,-25013,-17977.676104,-10807.889124
23086,-41422,-25010,-17977.214976,-23.530008
23087,-41423,-25019,-17975.239758,-10811.805661
23088,-41420,-25024,-17972.188861,-10812.222188
23089,-41427,-25022,-17968.544335,-25.040669
23090,-41427,-25029,-17964.804296,-10811.260704
23091,-41426,-25034,-17961.454338,-10810.449564
23092,-41435,-25034,-17958.940661,-22.905925
23093,-41437,-25040,-17957.646064,-10809.614419
23094,-41436,-25043,-17957.864986,-10810.096259
23095,-41444,-25044,-17959.781842,-24.544784
23096,-41444,-25048,-17963.458367,-10813.810029
23097,-41439,-25054,-17968.824268,-10817.232533
23098,-41444,-25055,-17975.681976,-34.787601
23099,-41442,-25060,-17983.724898,-10827.084794
23100,-41437,-25059,-17992.565249,-10833.225685
23101,-41428,-25051,-18001.776089,-52.975496
23102,-41410,-25040,-18010.938752,-10846.790941
23103,-41385,-25027,-18019.690450,-10853.700565
23104,-41357,-25008,-18027.767232,-73.490786
23105,-41322,-24986,-18035.035506,-10866.733779
23106,-41289,-24963,-18041.502174,-10872.653732
23107,-41264,-24945,-18047.306449,-91.281892
23108,-41240,-24927,-18052.688026,-10883.445351
23109,-41221,-24914,-18057.936479,-10888.586082
23110,-41213,-24909,-18063.327800,-106.872916
23111,-41207,-24908,-18069.058154,-10899.156185
23112,-41206,-24908,-18075.180746,-10904.768559
23113,-41213,-24914,-18081.561977,-123.639712
23114,-41212,-24917,-18087.861569,-10916.275613
23115,-41218,-24921,-18093.539409,-10921.603563
23116,-41228,-24928,-18097.897555,-139.146533
23117,-41230,-24933,-18100.148788,-10929.066914
23118,-41233,-24942,-18099.506000,-10930.073699
23119,-41244,-24949,-18095.281065,-141.647264
23120,-41253,-24957,-18086.983848,-10924.110488
23121,-41262,-24968,-18074.403605,-10916.538987
23122,-41269,-24977,-18057.665860,-118.960323
23123,-41272,-24980,-18037.253034,-10892.376235
23124,-41276,-24986,-18013.986671,-10876.600812
23125,-41275,-24993,-17988.971686,-72.380151
23126,-41268,-24987,-17963.507644,-10841.333312
23127,-41265,-24987,-17938.974790,-10823.719589
23128,-41259,-24987,-17916.712759,-20.506817
23129,-41250,-24983,-17897.898655,-10793.285511
23130,-41245,-24979,-17883.442077,-10782.038457
23131,-41239,-24979,-17873.906780,12.761977
