seq,red_raw,ir_raw,red_fir,ir_fir
423,-465330,-465395,-31.498984,-31.832344
424,-465320,-465407,-201212.015625,-201243.828125
425,-465328,-465402,-201211.843750,-201244.156250
426,-465337,-465398,-30.858359,-32.894844
427,-465326,-465410,-201211.718750,-201244.750000
428,-465334,-465408,-201211.687500,-201245.000000
429,-465340,-465404,-31.092734,-33.379219
430,-465329,-465413,-201211.937500,-201245.015625
431,-465339,-465410,-201212.093750,-201244.890625
432,-465345,-465406,-31.420859,-32.847969
433,-465335,-465418,-201212.500000,-201244.156250
434,-465345,-465414,-201212.593750,-201243.625000
435,-465350,-465414,-31.858359,-31.394844
436,-465341,-465425,-201212.640625,-201242.609375
437,-465347,-465420,-201212.625000,-201242.203125
438,-465350,-465417,-31.811484,-30.176094
439,-465340,-465424,-201212.437500,-201241.687500
440,-465347,-465418,-201212.421875,-201241.734375
441,-465348,-465413,-31.686484,-30.504219
442,-465338,-465418,-201212.609375,-201242.750000
443,-465344,-465413,-201212.921875,-201243.546875
444,-465345,-465409,-32.405234,-32.769844
445,-465334,-465415,-201213.750000,-201245.546875
446,-465338,-465410,-201214.406250,-201246.687500
447,-465338,-465402,-34.248984,-36.019844
448,-465329,-465407,-201215.984375,-201248.593750
449,-465331,-465401,-201216.796875,-201249.421875
450,-465331,-465398,-36.936484,-38.222969
451,-465322,-465402,-201218.656250,-201250.343750
452,-465324,-465399,-201219.500000,-201250.468750
453,-465323,-465393,-39.467734,-38.894844
454,-465315,-465399,-201221.156250,-201250.640625
455,-465319,-465394,-201221.984375,-201250.734375
456,-465319,-465389,-41.936484,-39.332344
457,-465313,-465397,-201223.656250,-201251.500000
458,-465317,-465390,-201224.781250,-201252.531250
459,-465319,-465386,-45.092734,-42.035469
460,-465313,-465391,-201227.234375,-201255.296875
461,-465317,-465390,-201228.546875,-201257.140625
462,-465318,-465385,-49.280234,-47.488594
463,-465311,-465389,-201231.500000,-201261.156250
464,-465313,-465386,-201232.859375,-201263.093750
465,-465312,-465380,-53.155234,-52.972969
466,-465306,-465385,-201234.859375,-201265.703125
467,-465310,-465384,-201235.375000,-201266.468750
468,-465309,-465376,-54.561484,-54.926094
469,-465304,-465379,-201235.015625,-201266.031250
470,-465306,-465378,-201234.281250,-201265.000000
471,-465302,-465368,-52.295859,-51.738594
472,-465299,-465375,-201231.515625,-201261.406250
473,-465302,-465375,-201229.796875,-201259.375000
474,-465298,-465365,-47.405234,-45.597969
475,-465294,-465371,-201226.296875,-201255.046875
476,-465296,-465370,-201224.593750,-201253.234375
477,-465293,-465360,-42.452109,-40.097969
478,-465288,-465365,-201222.062500,-201250.515625
479,-465288,-465361,-201221.265625,-201249.718750
480,-465282,-465350,-39.764609,-37.597969
481,-465276,-465351,-201220.484375,-201249.140625
482,-465271,-465346,-201220.546875,-201249.171875
483,-465262,-465331,-40.014609,-37.847969
484,-465254,-465328,-201221.156250,-201250.015625
485,-465252,-465325,-201221.765625,-201250.656250
486,-465245,-465312,-41.592734,-39.754219
487,-465243,-465314,-201223.218750,-201252.281250
488,-465241,-465313,-201224.093750,-201253.296875
489,-465233,-465302,-44.139609,-42.894844
490,-465227,-465302,-201225.890625,-201255.937500
491,-465223,-465303,-201227.062500,-201257.531250
492,-465217,-465289,-47.498984,-47.582344
493,-465216,-465291,-201229.781250,-201261.312500
494,-465214,-465292,-201231.343750,-201263.265625
495,-465209,-465281,-52.170859,-53.785469
496,-465212,-465284,-201234.796875,-201267.531250
497,-465209,-465283,-201236.609375,-201269.625000
498,-465204,-465270,-57.733359,-59.910469
499,-465207,-465273,-201240.500000,-201273.671875
500,-465203,-465273,-201242.328125,-201275.359375
