File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
arm_cortexM4lf_math.lib,30.660582%,127598,0,5634,121964,0,0
arm_common_tables.o,29.272184%,121820,0,0,121820,0,0
host_16bit.lib,11.176390%,46512,4174,43196,3299,17,4157
interface.o,2.050639%,8534,32,1930,6604,0,32
spo2_advanced.o,1.574143%,6551,21833,6266,284,1,21832
atts.o,1.294685%,5388,0,5248,140,0,0
gapc_task.o,0.920072%,3829,1,3564,264,1,0
smpc.o,0.835009%,3475,0,3450,25,0,0
n32wb452_ble_16bit.lib,0.786711%,3274,30,3268,0,6,24
app_ble.o,0.674736%,2808,3028,2740,0,68,2960
gapm_hci.o,0.628600%,2616,0,2336,280,0,0
gapm_task.o,0.618267%,2573,1,2364,208,1,0
gapm_util.o,0.572852%,2384,0,2384,0,0,0
app_power.o,0.532484%,2216,1046,2142,0,74,972
attm_db.o,0.530081%,2206,0,2206,0,0,0
smpc_api.o,0.482023%,2006,0,2006,0,0,0
app_ppg.o,0.460397%,1916,14640,1848,0,68,14572
ipa1322.o,0.452227%,1882,248,1762,64,56,192
gapc.o,0.446460%,1858,4,1838,16,4,0
gapc_hci.o,0.423392%,1762,0,1594,168,0,0
l2cc_pdu.o,0.419307%,1745,0,1368,377,0,0
app_record.o,0.415462%,1729,1581,1724,0,5,1576
app_task.o,0.414982%,1727,1,1574,152,1,0
arm_cfft_f32.o,0.396960%,1652,0,1652,0,0,0
app_device.o,0.386868%,1610,968,1578,12,20,948
n32wb452_qspi.o,0.371970%,1548,0,1548,0,0,0
hci_msg.o,0.360436%,1500,0,228,1272,0,0
n32wb452_rtc.o,0.352746%,1468,0,1468,0,0,0
arm_cfft_radix8_f32.o,0.350343%,1458,0,1458,0,0,0
bsp_hw_i2c.o,0.343856%,1431,11,1420,0,11,0
hci_tl.o,0.322470%,1342,24,1342,0,0,24
smpc_util.o,0.321028%,1336,0,1216,120,0,0
gattc_task.o,0.310696%,1293,1,1196,96,1,0
attm.o,0.309975%,1290,0,1290,0,0,0
timer.o,0.299402%,1246,668,1218,0,28,640
ipc.o,0.298441%,1242,0,1242,0,0,0
gattc.o,0.287387%,1196,4,1176,16,4,0
arm_fir_f32.o,0.287387%,1196,0,1196,0,0,0
