File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
spo2_advanced.o,26.102602%,21833,6551,6266,284,1,21832
app_ppg.o,17.502958%,14640,1916,1848,0,68,14572
app_spo2.o,16.752150%,14012,974,938,0,36,13976
board.o,9.794005%,8192,184,184,0,0,8192
startup_n32wb452.o,6.121253%,5120,444,36,408,0,5120
host_16bit.lib,4.990256%,4174,46512,43196,3299,17,4157
rwip.o,4.629198%,3872,114,114,0,0,3872
app_ble.o,3.620147%,3028,2808,2740,0,68,2960
spo2.o,2.199826%,1840,788,180,0,608,1232
app_record.o,1.890176%,1581,1729,1724,0,5,1576
app_power.o,1.250553%,1046,2216,2142,0,74,972
app_device.o,1.157300%,968,1610,1578,12,20,948
timer.o,0.798632%,668,1246,1218,0,28,640
idle.o,0.784286%,656,324,324,0,0,656
n32wb452_data_fifo.o,0.640819%,536,790,254,0,536,0
scheduler.o,0.339538%,284,578,550,0,28,256
ipa1322.o,0.296498%,248,1882,1762,64,56,192
app.o,0.188898%,158,446,424,20,2,156
object.o,0.119556%,100,518,418,0,100,0
mem.o,0.076516%,64,860,828,0,32,32
hl_test.o,0.066951%,56,592,564,0,28,28
ke.o,0.057387%,48,68,68,0,0,48
ke_task.o,0.052605%,44,592,592,0,0,44
gapm.o,0.052605%,44,1104,1016,88,0,44
gattm.o,0.038258%,32,214,162,52,0,32
interface.o,0.038258%,32,8534,1930,6604,0,32
n32wb452_ble_16bit.lib,0.035867%,30,3274,3268,0,6,24
eif_spi.o,0.028693%,24,408,408,0,0,24
nvds.o,0.028693%,24,740,736,4,0,24
hci_tl.o,0.028693%,24,1342,1342,0,0,24
prf.o,0.028693%,24,720,720,0,0,24
ke_event.o,0.023911%,20,164,164,0,0,20
h4tl.o,0.023911%,20,603,598,5,0,20
hci.o,0.020324%,17,142,126,16,0,17
n32wb452_ble_api.o,0.019129%,16,186,170,0,16,0
interrupt.o,0.019129%,16,362,346,0,16,0
cpuport.o,0.019129%,16,140,124,0,16,0
mc_w.l,0.014347%,12,584,572,0,12,0
l2cm.o,0.014347%,12,222,222,0,0,12
thread.o,0.014347%,12,880,868,0,12,0
cw2015.o,0.014347%,12,906,830,64,12,0
app_user.o,0.014347%,12,288,272,16,0,12
bsp_hw_i2c.o,0.013151%,11,1431,1420,0,11,0
irq.o,0.010760%,9,113,104,0,9,0
ble_monitor.o,0.007173%,6,326,320,0,6,0
stdout.o,0.004782%,4,4,0,0,4,0
rand.o,0.004782%,4,40,36,0,4,0
errno.o,0.004782%,4,16,12,0,4,0
l2cc.o,0.004782%,4,810,790,16,4,0
gattc.o,0.004782%,4,1196,1176,16,4,0
gapc.o,0.004782%,4,1858,1838,16,4,0
system_n32wb452.o,0.004782%,4,864,844,16,4,0
sc7a20.o,0.004782%,4,720,716,0,4,0
clock_1.o,0.004782%,4,148,144,0,4,0
bsp_timer.o,0.004782%,4,284,280,0,4,0
app_sec.o,0.002391%,2,984,934,48,2,0
l2cc_task.o,0.001196%,1,629,564,64,1,0
gattm_task.o,0.001196%,1,21,4,16,1,0
gattc_task.o,0.001196%,1,1293,1196,96,1,0
gapm_task.o,0.001196%,1,2573,2364,208,1,0
gapc_task.o,0.001196%,1,3829,3564,264,1,0
clock.o,0.001196%,1,269,268,0,1,0
app_task.o,0.001196%,1,1727,1574,152,1,0
app_main.o,0.001196%,1,85,84,0,1,0
