Timestamp_Local,Epoch_Time_s,Seq,Valid,Calibrated,SpO2_%,HR_BPM,PI_%,Ratio_R,HR_Time_BPM,HR_FFT_BPM,Raw_Hex
2026-09-07 09:30:00.312,1788744600.313,4283,0,0,93.78,88.2,3.13,0.7050,88.3,88.1,A5 01 00 00 BB 10 00 00 A2 24 72 03 39 01 8A 1B 73 03 71 03
2026-09-07 09:30:01.482,1788744601.483,4358,0,0,93.75,87.9,3.11,0.7058,88.3,87.6,A5 01 00 00 06 11 00 00 9F 24 6F 03 37 01 92 1B 73 03 6C 03
2026-09-07 09:30:02.233,1788744602.233,4433,0,0,93.76,89.1,3.10,0.7055,88.3,89.8,A5 01 00 00 51 11 00 00 A0 24 7B 03 36 01 8F 1B 73 03 82 03
2026-09-07 09:30:03.462,1788744603.463,4508,0,0,93.77,89.1,3.13,0.7051,88.3,89.8,A5 01 00 00 9C 11 00 00 A1 24 7B 03 39 01 8B 1B 73 03 82 03
2026-09-07 09:30:04.542,1788744604.542,4583,0,0,93.75,89.1,3.09,0.7057,88.3,89.9,A5 01 00 00 E7 11 00 00 9F 24 7B 03 35 01 91 1B 73 03 83 03
2026-09-07 09:30:05.321,1788744605.322,4658,0,0,93.77,89.1,3.14,0.7051,88.3,89.9,A5 01 00 00 32 12 00 00 A1 24 7B 03 3A 01 8B 1B 73 03 83 03
2026-09-07 09:30:06.493,1788744606.493,4733,0,0,93.74,89.1,3.10,0.7060,88.3,89.9,A5 01 00 00 7D 12 00 00 9E 24 7B 03 36 01 94 1B 73 03 83 03
2026-09-07 09:30:07.242,1788744607.243,4808,0,0,93.75,89.1,3.15,0.7057,88.3,89.8,A5 01 00 00 C8 12 00 00 9F 24 7B 03 3B 01 91 1B 73 03 82 03
2026-09-07 09:30:08.412,1788744608.413,4883,0,0,93.76,87.1,3.11,0.7056,88.3,85.9,A5 01 00 00 13 13 00 00 A0 24 67 03 37 01 90 1B 73 03 5B 03
2026-09-07 09:30:09.192,1788744609.192,4958,0,0,93.72,89.1,3.15,0.7067,88.3,89.9,A5 01 00 00 5E 13 00 00 9C 24 7B 03 3B 01 9B 1B 73 03 83 03
2026-09-07 09:30:10.332,1788744610.332,5033,0,0,93.78,87.1,3.12,0.7051,88.3,85.9,A5 01 00 00 A9 13 00 00 A2 24 67 03 38 01 8B 1B 73 03 5B 03
2026-09-07 09:30:11.501,1788744611.501,5108,0,0,93.74,89.1,3.15,0.7062,88.3,89.9,A5 01 00 00 F4 13 00 00 9E 24 7B 03 3B 01 96 1B 73 03 83 03
2026-09-07 09:30:12.281,1788744612.282,5183,0,0,93.76,87.1,3.11,0.7054,88.3,85.9,A5 01 00 00 3F 14 00 00 A0 24 67 03 37 01 8E 1B 73 03 5B 03
2026-09-07 09:30:13.422,1788744613.423,5258,0,0,93.78,89.1,3.14,0.7050,88.3,89.9,A5 01 00 00 8A 14 00 00 A2 24 7B 03 3A 01 8A 1B 73 03 83 03
2026-09-07 09:30:14.202,1788744614.203,5333,0,0,93.74,87.6,3.11,0.7060,88.3,86.9,A5 01 00 00 D5 14 00 00 9E 24 6C 03 37 01 94 1B 73 03 65 03
2026-09-07 09:30:15.372,1788744615.373,5408,0,0,93.76,88.7,3.11,0.7054,88.3,89.1,A5 01 00 00 20 15 00 00 A0 24 77 03 37 01 8E 1B 73 03 7B 03
2026-09-07 09:30:16.512,1788744616.512,5483,0,0,93.73,88.6,3.12,0.7063,88.3,88.9,A5 01 00 00 6B 15 00 00 9D 24 76 03 38 01 97 1B 73 03 79 03
2026-09-07 09:30:17.293,1788744617.293,5558,0,0,93.75,89.1,3.09,0.7058,88.3,89.9,A5 01 00 00 B6 15 00 00 9F 24 7B 03 35 01 92 1B 73 03 83 03
2026-09-07 09:30:18.432,1788744618.432,5633,0,0,93.73,89.1,3.13,0.7063,88.3,89.8,A5 01 00 00 01 16 00 00 9D 24 7B 03 39 01 97 1B 73 03 82 03
2026-09-07 09:30:19.242,1788744619.242,5708,0,0,93.71,89.1,3.10,0.7068,88.3,89.9,A5 01 00 00 4C 16 00 00 9B 24 7B 03 36 01 9C 1B 73 03 83 03
2026-09-07 09:30:20.382,1788744620.383,5783,0,0,93.75,89.1,3.15,0.7058,88.3,89.9,A5 01 00 00 97 16 00 00 9F 24 7B 03 3B 01 92 1B 73 03 83 03
2026-09-07 09:30:21.192,1788744621.192,5858,0,0,93.70,87.1,3.10,0.7073,88.3,85.9,A5 01 00 00 E2 16 00 00 9A 24 67 03 36 01 A1 1B 73 03 5B 03
2026-09-07 09:30:22.301,1788744622.302,5933,0,0,93.74,89.1,3.16,0.7062,88.3,89.9,A5 01 00 00 2D 17 00 00 9E 24 7B 03 3C 01 96 1B 73 03 83 03
2026-09-07 09:30:23.502,1788744623.503,6008,0,0,93.71,87.1,3.11,0.7070,88.3,85.9,A5 01 00 00 78 17 00 00 9B 24 67 03 37 01 9E 1B 73 03 5B 03
2026-09-07 09:30:24.222,1788744624.223,6083,0,0,93.73,89.1,3.15,0.7063,88.3,89.8,A5 01 00 00 C3 17 00 00 9D 24 7B 03 3B 01 97 1B 73 03 82 03
