Timestamp_Local,Epoch_Time_s,Packet_Type,Seq,Valid,Calibrated,SpO2_%,HR_BPM,PI_%,Ratio_R,HR_Time_BPM,HR_FFT_BPM,Motion_State,Battery_%,Battery_mV,Raw_Hex
2026-09-07 18:45:02.894,1788777902.894,SpO2,4275,0,0,81.27,114.2,0.84,1.0004,195.7,32.8,Still,,,A5 01 00 00 B3 10 00 00 BF 1F 76 04 54 00 14 27 A5 07 48 01
2026-09-07 18:45:03.673,1788777903.674,SpO2,4350,0,0,81.28,114.2,0.88,1.0001,195.7,32.8,Still,,,A5 01 00 00 FE 10 00 00 C0 1F 76 04 58 00 11 27 A5 07 48 01
2026-09-07 18:45:04.814,1788777904.814,SpO2,4425,0,0,81.29,114.2,0.86,0.9998,195.7,32.8,Still,,,A5 01 00 00 49 11 00 00 C1 1F 76 04 56 00 0E 27 A5 07 48 01
2026-09-07 18:45:05.594,1788777905.594,SpO2,4500,0,0,81.28,118.0,0.83,1.0000,195.7,40.3,Still,,,A5 01 00 00 94 11 00 00 C0 1F 9C 04 53 00 10 27 A5 07 93 01
2026-09-07 18:45:05.610,1788777905.611,Battery,4500,1,,,,,,,,,100,4157,A5 02 01 64 3D 10 94 11 00 00 00 00 00 11 01 00 62 01 01 00
2026-09-07 18:45:06.764,1788777906.765,SpO2,4575,0,0,81.28,118.6,0.82,1.0001,195.7,41.5,Still,,,A5 01 00 00 DF 11 00 00 C0 1F A2 04 52 00 11 27 A5 07 9F 01
2026-09-07 18:45:07.904,1788777907.904,SpO2,4650,0,0,81.28,113.7,0.86,1.0001,195.7,31.8,Still,,,A5 01 00 00 2A 12 00 00 C0 1F 71 04 56 00 11 27 A5 07 3E 01
2026-09-07 18:45:08.685,1788777908.685,SpO2,4725,0,0,81.29,122.1,0.86,0.9999,195.7,48.5,Still,,,A5 01 00 00 75 12 00 00 C1 1F C5 04 56 00 0F 27 A5 07 E5 01
2026-09-07 18:45:09.854,1788777909.855,SpO2,4800,0,0,81.29,121.9,0.77,0.9999,195.7,48.0,Still,,,A5 01 00 00 C0 12 00 00 C1 1F C3 04 4D 00 0F 27 A5 07 E0 01
2026-09-07 18:45:10.604,1788777910.604,SpO2,4875,0,0,81.33,121.5,0.64,0.9992,195.7,47.3,Still,,,A5 01 00 00 0B 13 00 00 C5 1F BF 04 40 00 08 27 A5 07 D9 01
2026-09-07 18:45:11.774,1788777911.774,SpO2,4950,0,0,81.43,117.0,0.39,0.9971,195.7,38.2,Still,,,A5 01 00 00 56 13 00 00 CF 1F 92 04 27 00 F3 26 A5 07 7E 01
2026-09-07 18:45:12.914,1788777912.914,SpO2,5025,0,0,81.30,114.2,0.15,0.9997,195.7,32.8,Still,,,A5 01 00 00 A1 13 00 00 C2 1F 76 04 0F 00 0D 27 A5 07 48 01
2026-09-07 18:45:13.695,1788777913.695,SpO2,5100,0,0,81.28,114.2,0.12,1.0002,195.7,32.8,Still,,,A5 01 00 00 EC 13 00 00 C0 1F 76 04 0C 00 12 27 A5 07 48 01
2026-09-07 18:45:14.864,1788777914.865,SpO2,5175,0,0,81.36,114.2,0.11,0.9986,195.7,32.8,Still,,,A5 01 00 00 37 14 00 00 C8 1F 76 04 0B 00 02 27 A5 07 48 01
2026-09-07 18:45:15.644,1788777915.644,SpO2,5250,0,0,81.73,115.1,0.03,0.9913,195.7,34.4,Still,,,A5 01 00 00 82 14 00 00 ED 1F 7F 04 03 00 B9 26 A5 07 58 01
2026-09-07 18:45:16.784,1788777916.785,SpO2,5325,0,0,81.43,111.8,0.01,0.9972,187.6,36.1,Still,,,A5 01 00 00 CD 14 00 00 CF 1F 5E 04 01 00 F4 26 54 07 69 01
2026-09-07 18:45:17.564,1788777917.564,SpO2,5400,0,0,80.41,111.2,0.01,1.0160,187.6,34.8,Still,,,A5 01 00 00 18 15 00 00 69 1F 58 04 01 00 B0 27 54 07 5C 01
2026-09-07 18:45:18.705,1788777918.705,SpO2,5475,0,0,80.60,110.6,0.01,1.0128,187.6,33.7,Still,,,A5 01 00 00 63 15 00 00 7C 1F 52 04 01 00 90 27 54 07 51 01
2026-09-07 18:45:19.874,1788777919.875,SpO2,5550,0,0,82.07,110.2,0.00,0.9844,187.6,32.8,Still,,,A5 01 00 00 AE 15 00 00 0F 20 4E 04 00 00 74 26 54 07 48 01
2026-09-07 18:45:20.654,1788777920.655,SpO2,5625,0,0,82.45,110.2,0.00,0.9766,187.6,32.8,Still,,,A5 01 00 00 F9 15 00 00 35 20 4E 04 00 00 26 26 54 07 48 01
2026-09-07 18:45:21.794,1788777921.795,SpO2,5700,0,0,83.34,110.2,0.00,0.9590,187.6,32.8,Still,,,A5 01 00 00 44 16 00 00 8E 20 4E 04 00 00 76 25 54 07 48 01
2026-09-07 18:45:22.575,1788777922.575,SpO2,5775,0,0,82.62,111.0,0.00,0.9730,187.6,34.4,Still,,,A5 01 00 00 8F 16 00 00 46 20 56 04 00 00 02 26 54 07 58 01
2026-09-07 18:45:23.745,1788777923.745,SpO2,5850,0,0,83.44,110.6,0.00,0.9572,187.6,33.6,Still,,,A5 01 00 00 DA 16 00 00 98 20 52 04 00 00 64 25 54 07 50 01
2026-09-07 18:45:24.884,1788777924.885,SpO2,5925,0,0,82.63,108.9,0.00,0.9728,187.6,30.3,Still,,,A5 01 00 00 25 17 00 00 47 20 41 04 00 00 00 26 54 07 2F 01
2026-09-07 18:45:25.664,1788777925.664,SpO2,6000,0,0,83.07,110.2,0.00,0.9639,187.6,32.8,Still,,,A5 01 00 00 70 17 00 00 73 20 4E 04 00 00 A7 25 54 07 48 01
2026-09-07 18:45:26.805,1788777926.805,SpO2,6075,0,0,84.07,109.3,0.00,0.9452,187.6,31.0,Still,,,A5 01 00 00 BB 17 00 00 D7 20 45 04 00 00 EC 24 54 07 36 01
2026-09-07 18:45:27.584,1788777927.585,SpO2,6150,0,0,82.41,108.8,0.00,0.9774,187.6,30.0,Still,,,A5 01 00 00 06 18 00 00 31 20 40 04 00 00 2E 26 54 07 2C 01
2026-09-07 18:45:28.754,1788777928.754,SpO2,6225,0,0,81.88,117.1,0.00,0.9884,187.6,46.7,Still,,,A5 01 00 00 51 18 00 00 FC 1F 93 04 00 00 9C 26 54 07 D3 01
2026-09-07 18:45:29.564,1788777929.565,SpO2,6300,0,0,80.84,117.4,0.01,1.0085,187.6,47.3,Still,,,A5 01 00 00 9C 18 00 00 94 1F 96 04 01 00 65 27 54 07 D9 01
2026-09-07 18:45:30.675,1788777930.675,SpO2,6375,0,0,82.44,117.6,0.01,0.9768,187.6,47.6,Still,,,A5 01 00 00 E7 18 00 00 34 20 98 04 01 00 28 26 54 07 DC 01
2026-09-07 18:45:31.845,1788777931.846,SpO2,6450,0,0,82.43,115.1,0.01,0.9770,187.6,42.6,Still,,,A5 01 00 00 32 19 00 00 33 20 7F 04 01 00 2A 26 54 07 AA 01
2026-09-07 18:45:32.625,1788777932.625,SpO2,6525,0,0,82.23,116.6,0.01,0.9812,187.6,45.6,Still,,,A5 01 00 00 7D 19 00 00 1F 20 8E 04 01 00 54 26 54 07 C8 01
2026-09-07 18:45:33.764,1788777933.765,SpO2,6600,0,0,82.15,110.2,0.01,0.9828,187.6,32.8,Still,,,A5 01 00 00 C8 19 00 00 17 20 4E 04 01 00 64 26 54 07 48 01
2026-09-07 18:45:34.544,1788777934.544,SpO2,6675,0,0,81.70,110.2,0.01,0.9919,187.6,32.8,Still,,,A5 01 00 00 13 1A 00 00 EA 1F 4E 04 01 00 BF 26 54 07 48 01
2026-09-07 18:45:35.714,1788777935.715,SpO2,6750,0,0,82.50,112.7,0.01,0.9757,187.6,37.7,Still,,,A5 01 00 00 5E 1A 00 00 3A 20 67 04 01 00 1D 26 54 07 79 01
